URL,Size(Bytes),#Outlinks,Type
https://www.nytimes.com/sitemap/1912/01/,82622,64,text/html
https://www.nytimes.com/sitemap/1912/04/,82191,63,text/html
https://www.nytimes.com/sitemap/1912/06/,82155,63,text/html
https://www.nytimes.com/sitemap/1912/08/,82591,64,text/html
https://www.nytimes.com/sitemap/1912/10/,82629,64,text/html
https://www.nytimes.com/sitemap/1912/02/,81933,62,text/html
https://www.nytimes.com/sitemap/1912/12/,82666,64,text/html
https://www.nytimes.com/zh-hant/privacy/your-privacy-choices,66894,24,text/html
https://www.nytimes.com/data-subject-request,84465,29,text/html
https://www.nytimes.com/zh-hans/privacy/your-privacy-choices,66894,24,text/html
https://www.nytimes.com/privacy/third-party,91991,107,text/html
https://www.nytimes.com/es/privacy/your-privacy-choices,66910,24,text/html
https://www.nytimes.com/privacy,88305,32,text/html
https://www.nytimes.com/sitemap/1887/09/,82335,63,text/html
https://www.nytimes.com/sitemap/1887/10/,82629,64,text/html
https://www.nytimes.com/video/science/space/100000008819991/california-lights-sacramento.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/science/100000008981841/july-supermoon-buck-moon.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/science/space/100000008842578/artemis-ii-astronauts-moon-nasa.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/how-we-got-here,507138,60,text/html
https://www.nytimes.com/video/science/100000009053781/india-moon-landing.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/science/space/100000009121655/amazon-project-kuiper-launch.html?playlistId=video%2Fscience,1048576,100,text/html
https://www.nytimes.com/video/science/earth/100000009092549/northern-lights-aurora-borealis.html?playlistId=video%2Fscience,1048576,100,text/html
https://www.nytimes.com/video/science/space/100000009121655/amazon-project-kuiper-launch.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/Most-Viewed,1048576,76,text/html
https://www.nytimes.com/video/science/100000008981841/july-supermoon-buck-moon.html?playlistId=video%2Fscience,1048576,100,text/html
https://www.nytimes.com/video/science/100000008842429/nasa-artemis-ii-live.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/science/space/100000008867597/starship-spacex-launch.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
https://www.nytimes.com/video/hk-protest,1048576,100,text/html
https://www.nytimes.com/video/science/space/100000008869615/spacex-dust-starship-launch-texas-port-isabel.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Fscience,1048576,101,text/html
